outcome,model_type,term,estimate,std_error,statistic,p_value,conf_low,conf_high,status,detail
Ľudský odhad celkovej závažnosti depresívnej symptomatiky,CLMM,2|3,-1.4629817754557732,0.9362214981711307,-1.562644927844155,0.11813613457964602,-3.2979759118711893,0.37201236095964285,ok,Response levels used: 5.
Ľudský odhad celkovej závažnosti depresívnej symptomatiky,CLMM,3|4,3.254699390525326,0.9613666486153843,3.3854923043283556,7.105070173550694e-4,1.3704207592391726,5.138978021811479,ok,Response levels used: 5.
Ľudský odhad celkovej závažnosti depresívnej symptomatiky,CLMM,4|5,6.369142549326826,1.1410475384616887,5.58183803447263,2.3798995680651224e-8,4.132689373941917,8.605595724711735,ok,Response levels used: 5.
Ľudský odhad celkovej závažnosti depresívnej symptomatiky,CLMM,Hlavný efekt klinického usmernenia G1 (vs. G0),-0.1699731425271205,0.573106723550518,-0.2965820074036137,0.7667856491467352,-1.2932623206861356,0.9533160356318946,ok,Response levels used: 5.
Ľudský odhad celkovej závažnosti depresívnej symptomatiky,CLMM,Hlavný efekt P2 (vs. P1),-0.38460967948809716,0.5570111069094011,-0.6904883488268657,0.48988713443443305,-1.4763514490305234,0.7071320900543292,ok,Response levels used: 5.
Ľudský odhad celkovej závažnosti depresívnej symptomatiky,CLMM,Hlavný efekt P3 (vs. P1),-0.3518853258446274,0.5566828887472962,-0.6321109072284854,0.527314408456631,-1.442983787789328,0.7392131361000732,ok,Response levels used: 5.
Ľudský odhad celkovej závažnosti depresívnej symptomatiky,CLMM,Interakcia klinického usmernenia G1 × P2,1.1780349849159464,0.835038039563623,1.410756072300093,0.1583165511186378,-0.45863957262875465,2.8147095424606476,ok,Response levels used: 5.
Ľudský odhad celkovej závažnosti depresívnej symptomatiky,CLMM,Interakcia klinického usmernenia G1 × P3,1.8708776892235666,0.8313729258822069,2.250347143838362,0.02442691746520324,0.24138675449444102,3.500368623952692,ok,Response levels used: 5.
Ľudský odhad funkčného dopadu na bežné fungovanie,CLMM,2|3,-3.483598761800916,1.5535139510224536,-2.2423994065249087,0.024935570133659088,-6.528486105804925,-0.4387114177969069,ok,Response levels used: 4.
Ľudský odhad funkčného dopadu na bežné fungovanie,CLMM,3|4,3.477733642534431,1.5297269244222345,2.2734342888342267,0.023000021799794157,0.47946887066685173,6.47599841440201,ok,Response levels used: 4.
Ľudský odhad funkčného dopadu na bežné fungovanie,CLMM,4|5,6.3139452134496885,1.622370570724154,3.8918021119129547,9.950238846076113e-5,3.1340988948303465,9.49379153206903,ok,Response levels used: 4.
Ľudský odhad funkčného dopadu na bežné fungovanie,CLMM,Hlavný efekt klinického usmernenia G1 (vs. G0),-0.3366074447232052,0.6150864174103259,-0.5472522806476694,0.5842054229216935,-1.542176822847444,0.8689619334010334,ok,Response levels used: 4.
Ľudský odhad funkčného dopadu na bežné fungovanie,CLMM,Hlavný efekt P2 (vs. P1),-1.2574141806632424,0.6413578730377236,-1.960550004177283,0.04993153941037836,-2.514475611817181,-3.5274950930408444e-4,ok,Response levels used: 4.
Ľudský odhad funkčného dopadu na bežné fungovanie,CLMM,Hlavný efekt P3 (vs. P1),-1.2981298479329288,0.6380913700070577,-2.0343949298649355,0.04191179265495862,-2.5487889331467617,-0.04747076271909578,ok,Response levels used: 4.
Ľudský odhad funkčného dopadu na bežné fungovanie,CLMM,Interakcia klinického usmernenia G1 × P2,0.6030343920993019,0.9579548696200465,0.6295018807498555,0.5290205378262043,-1.2745571523559893,2.480625936554593,ok,Response levels used: 4.
Ľudský odhad funkčného dopadu na bežné fungovanie,CLMM,Interakcia klinického usmernenia G1 × P3,1.9696506365509432,0.9309584750075263,2.1157234070349054,0.03436833860843734,0.1449720255361917,3.7943292475656945,ok,Response levels used: 4.
Istota odhadu pôvodu,CLMM,2|3,-2.788812856857228,1.5862428156159967,-1.758124815067628,0.0787262743337357,-5.897848775464581,0.3202230617501254,ok,Response levels used: 4.
Istota odhadu pôvodu,CLMM,3|4,1.7928367602014965,1.2365878596886413,1.4498256198737973,0.14710715320691828,-0.6308754447882403,4.216548965191233,ok,Response levels used: 4.
Istota odhadu pôvodu,CLMM,4|5,3.9276241044899747,1.5458112624113842,2.540817368844297,0.011059367128339194,0.8978340301636618,6.957414178816288,ok,Response levels used: 4.
Istota odhadu pôvodu,CLMM,Hlavný efekt klinického usmernenia G1 (vs. G0),-0.31042515820105643,1.0475028593316715,-0.2963477907822744,0.7669644923292318,-2.3635307624911324,1.7426804460890197,ok,Response levels used: 4.
Istota odhadu pôvodu,CLMM,Hlavný efekt P2 (vs. P1),-0.3104153517046214,0.9333892313639156,-0.3325679590828649,0.7394604328135339,-2.139858245177896,1.519027541768653,ok,Response levels used: 4.
Istota odhadu pôvodu,CLMM,Hlavný efekt P3 (vs. P1),0.46096528107149004,0.8773864562377638,0.5253845415486703,0.5993158975125765,-1.2587121731545268,2.180642735297507,ok,Response levels used: 4.
Istota odhadu pôvodu,CLMM,Interakcia klinického usmernenia G1 × P3,2.9587950629086595,2.7807467211903325,1.0640289676012316,0.28731557711023775,-2.4914685106243923,8.409058636441712,ok,Response levels used: 4.
